N,P,K,Temperature,Humidity,Rainfall,SoilType,Region,Season,CropType,CropName,Area,FertilizerUsed,IrrigationType,PesticideUsage,SeedQuality,Production,Yield
190.9,38.4,125.1,9.1,92.9,660.8,Clay,Karnataka,Summer,Vegetable,Onion,2.896,380.9,Canal,5.806,Medium,58.169,20.086
165.9,89.6,3.3,13.1,24.0,409.0,Chalky,Maharashtra,Summer,Oilseed,Groundnut,6.682,122.0,Tube well,1.217,High,11.032,1.651
92.9,7.2,28.6,16.3,63.6,915.2,Silt,Punjab,Kharif,Vegetable,Onion,4.443,142.0,Drip,2.152,High,83.049,18.692
13.1,70.7,114.7,20.1,42.3,584.0,Peaty,Maharashtra,Kharif,Oilseed,Mustard,2.535,386.6,Drip,3.838,High,3.23,1.274
72.6,138.6,182.8,25.6,74.0,1026.5,Peaty,Karnataka,Summer,Cereal,Barley,8.193,23.7,Tube well,3.839,High,20.663,2.522
40.7,149.9,131.0,39.2,23.4,109.0,Loam,Tamil Nadu,Summer,Cereal,Barley,2.778,394.4,Canal,3.994,Low,4.873,1.754
66.4,132.5,102.8,19.3,74.2,300.2,Sandy,Tamil Nadu,Summer,Cereal,Rice,2.131,141.9,Canal,3.315,Medium,9.033,4.239
61.9,128.5,208.1,15.6,40.1,73.3,Peaty,Uttar Pradesh,Rabi,Pulse,Moong,7.07,246.0,Canal,3.981,Low,3.959,0.56
226.2,124.5,153.7,20.4,64.1,344.7,Peaty,Karnataka,Kharif,Oilseed,Groundnut,8.239,121.3,Drip,4.44,High,24.272,2.946
67.9,141.6,45.8,30.9,48.3,1066.8,Chalky,Karnataka,Summer,Vegetable,Onion,2.49,164.6,Tube well,1.612,High,52.746,21.183
61.2,66.2,123.4,13.9,34.9,1094.1,Sandy,Gujarat,Kharif,Pulse,Masoor,1.558,87.7,Canal,1.969,Medium,0.7,0.449
184.3,123.8,283.0,35.7,44.9,995.3,Clay,Punjab,Summer,Vegetable,Tomato,5.451,61.1,Tube well,0.256,Medium,81.46,14.944
177.9,77.0,165.2,37.4,70.2,483.5,Silt,Haryana,Kharif,Fiber,Cotton,4.151,389.1,Rainfed,0.171,High,7.185,1.731
136.8,92.5,93.9,20.2,20.8,852.4,Peaty,Rajasthan,Rabi,Cereal,Barley,8.916,241.0,Tube well,5.336,Medium,27.426,3.076
4.4,9.6,72.4,19.9,58.1,1058.8,Sandy,Haryana,Summer,Cereal,Rice,2.958,33.3,Rainfed,4.846,High,4.848,1.639
114.4,14.5,89.5,28.0,33.3,1172.3,Peaty,Karnataka,Rabi,Cereal,Wheat,7.065,116.8,Canal,2.589,Low,19.259,2.726
243.3,37.0,238.6,12.4,64.2,323.2,Sandy,Uttar Pradesh,Summer,Pulse,Chana,9.616,323.8,Rainfed,1.98,Low,7.568,0.787
132.9,118.4,174.3,26.2,81.1,906.2,Chalky,Haryana,Kharif,Pulse,Moong,5.734,200.9,Canal,0.193,High,4.708,0.821
3.0,33.8,56.0,12.9,59.1,139.3,Peaty,Rajasthan,Rabi,Pulse,Chana,2.342,286.1,Drip,0.866,Medium,1.541,0.658
83.7,113.1,53.3,28.6,50.7,3.0,Peaty,Karnataka,Kharif,Vegetable,Onion,4.95,33.1,Drip,1.453,Medium,71.914,14.528
207.1,82.4,46.1,35.6,64.7,1103.4,Peaty,Rajasthan,Rabi,Oilseed,Mustard,8.008,154.7,Drip,3.698,Medium,9.61,1.2
199.1,139.5,237.9,8.0,38.4,808.1,Loam,Punjab,Kharif,Vegetable,Potato,6.442,360.8,Tube well,1.909,Medium,197.209,30.613
112.0,74.0,236.3,19.2,20.0,1167.4,Loam,Rajasthan,Rabi,Pulse,Chana,5.48,188.8,Tube well,5.239,Low,4.631,0.845
201.6,60.6,82.1,29.9,74.7,828.6,Loam,Uttar Pradesh,Rabi,Oilseed,Groundnut,0.188,101.0,Tube well,0.052,Medium,0.37,1.967
159.9,7.5,100.3,21.7,81.9,422.8,Loam,Haryana,Rabi,Oilseed,Soybean,7.134,16.0,Canal,5.287,Medium,13.162,1.845
223.2,87.6,237.6,23.0,72.2,847.7,Clay,Maharashtra,Summer,Vegetable,Brinjal,8.236,208.4,Drip,0.312,Medium,122.56,14.881
140.6,22.0,260.2,27.8,90.5,948.6,Clay,Gujarat,Rabi,Pulse,Masoor,2.049,280.5,Drip,3.093,Medium,1.873,0.914
241.1,107.1,72.7,24.7,26.8,49.5,Peaty,Tamil Nadu,Kharif,Vegetable,Onion,6.162,176.7,Rainfed,4.822,Medium,120.196,19.506
241.7,93.2,78.2,19.4,26.3,992.8,Chalky,Haryana,Rabi,Cash,Sugarcane,2.667,53.0,Rainfed,4.261,Low,87.944,32.975
129.8,126.0,110.0,21.5,54.3,545.8,Silt,Tamil Nadu,Rabi,Oilseed,Groundnut,0.445,207.4,Drip,5.731,High,1.426,3.204
149.9,20.8,240.2,24.9,67.8,317.9,Clay,Karnataka,Kharif,Pulse,Chana,7.38,177.4,Tube well,2.659,Medium,9.151,1.24
81.8,103.1,20.5,36.2,60.5,590.8,Sandy,Maharashtra,Rabi,Cereal,Wheat,6.277,335.2,Tube well,3.953,Medium,20.808,3.315
63.9,94.2,252.2,39.9,46.9,13.8,Sandy,Uttar Pradesh,Kharif,Cereal,Rice,7.621,331.6,Tube well,2.841,High,27.801,3.648
77.6,125.6,239.3,14.1,46.9,278.5,Loam,Tamil Nadu,Kharif,Fiber,Cotton,2.211,142.7,Tube well,3.744,High,4.159,1.881
239.9,54.8,114.5,27.7,52.3,680.4,Loam,Karnataka,Kharif,Vegetable,Potato,9.601,165.3,Canal,0.38,High,375.38,39.098
188.1,116.7,78.0,17.7,22.3,179.3,Chalky,Gujarat,Summer,Vegetable,Brinjal,7.969,83.8,Canal,4.387,Medium,58.963,7.399
249.7,131.2,84.8,28.4,66.2,1047.9,Peaty,Maharashtra,Rabi,Vegetable,Brinjal,3.83,107.4,Drip,4.457,Medium,56.14,14.658
73.2,36.8,210.6,32.6,39.4,1183.5,Silt,Gujarat,Summer,Pulse,Masoor,6.415,323.0,Drip,2.875,Medium,4.843,0.755
150.7,3.7,171.2,36.2,39.7,176.4,Sandy,Rajasthan,Kharif,Pulse,Urad,7.499,378.4,Canal,1.538,High,3.277,0.437
57.9,62.0,149.0,22.6,81.7,857.9,Loam,Rajasthan,Summer,Pulse,Urad,2.583,336.2,Tube well,0.692,Medium,1.749,0.677
234.9,86.7,226.0,23.9,67.3,909.6,Silt,Rajasthan,Summer,Oilseed,Groundnut,1.649,121.7,Rainfed,3.465,High,4.276,2.593
123.5,42.4,97.7,14.4,61.5,472.4,Loam,Maharashtra,Kharif,Oilseed,Groundnut,7.329,249.6,Tube well,4.537,Medium,17.744,2.421
31.3,20.6,216.6,16.6,48.0,890.7,Peaty,Karnataka,Kharif,Vegetable,Potato,5.275,209.6,Canal,2.352,Low,110.833,21.011
35.2,27.7,171.0,11.1,54.9,1161.5,Loam,Rajasthan,Summer,Oilseed,Soybean,8.893,232.8,Canal,5.906,Low,13.117,1.475
120.1,102.6,29.7,38.2,81.2,909.1,Sandy,Gujarat,Summer,Oilseed,Soybean,0.731,62.6,Tube well,0.848,Medium,1.041,1.424
136.8,30.2,276.1,21.2,48.3,976.9,Clay,Tamil Nadu,Rabi,Oilseed,Groundnut,9.568,349.1,Tube well,1.798,Low,19.48,2.036
171.8,117.7,245.4,15.9,42.4,723.3,Loam,Odisha,Rabi,Oilseed,Sesame,3.067,212.8,Rainfed,2.222,Medium,2.564,0.836
221.6,65.1,48.4,37.4,48.2,1050.7,Silt,Tamil Nadu,Kharif,Cereal,Maize,6.965,175.7,Rainfed,3.948,High,32.624,4.684
92.9,142.8,27.3,26.5,45.0,1088.3,Silt,Tamil Nadu,Summer,Oilseed,Sesame,0.355,217.3,Drip,0.116,Low,0.249,0.701
156.5,62.7,85.6,28.0,70.1,298.1,Chalky,Tamil Nadu,Summer,Cereal,Maize,0.13,289.9,Rainfed,3.244,High,0.858,6.601
115.6,96.0,11.8,29.8,92.9,173.7,Sandy,Rajasthan,Kharif,Pulse,Moong,9.087,230.3,Canal,3.884,Medium,5.543,0.61
79.3,1.7,269.0,25.2,22.4,482.1,Peaty,Odisha,Kharif,Oilseed,Sesame,4.102,273.7,Canal,4.411,High,3.839,0.936
26.9,37.4,229.3,35.3,68.1,383.8,Chalky,Haryana,Kharif,Vegetable,Potato,1.194,37.2,Canal,2.267,High,20.011,16.76
107.5,103.3,275.8,20.8,55.2,581.1,Silt,Bihar,Kharif,Oilseed,Soybean,7.467,120.8,Drip,5.386,High,27.367,3.665
171.3,133.6,76.3,25.4,91.8,523.6,Clay,Odisha,Summer,Pulse,Urad,2.597,207.3,Canal,1.259,High,1.867,0.719
21.9,134.5,14.2,27.6,47.5,213.5,Peaty,Karnataka,Rabi,Cereal,Rice,9.656,289.2,Tube well,3.438,Medium,36.741,3.805
57.2,37.5,34.5,27.5,24.4,633.7,Silt,Gujarat,Summer,Cereal,Wheat,4.355,248.2,Tube well,2.885,Medium,14.511,3.332
216.3,89.9,33.7,11.6,52.3,418.6,Silt,Rajasthan,Rabi,Cereal,Rice,0.471,30.3,Canal,5.801,Medium,1.567,3.327
8.3,7.7,3.6,30.2,32.0,1053.2,Chalky,Odisha,Rabi,Vegetable,Onion,4.13,362.2,Rainfed,1.7,High,41.473,10.042
144.5,96.4,45.2,28.0,36.4,1046.3,Chalky,Rajasthan,Kharif,Oilseed,Groundnut,5.052,203.1,Rainfed,2.317,High,10.013,1.982
56.4,10.0,75.3,26.2,86.6,577.8,Loam,Tamil Nadu,Kharif,Cereal,Rice,4.902,327.0,Rainfed,4.185,Medium,17.598,3.59
180.9,50.0,175.5,24.1,58.6,186.2,Silt,Bihar,Summer,Cereal,Rice,9.065,386.3,Canal,4.177,Medium,60.001,6.619
200.3,143.0,296.9,26.1,88.2,981.8,Silt,Gujarat,Rabi,Oilseed,Mustard,8.88,56.8,Canal,0.27,Low,8.161,0.919
87.8,45.3,262.5,11.3,47.8,177.0,Clay,Punjab,Summer,Cereal,Rice,8.266,267.0,Drip,1.982,Medium,34.833,4.214
125.8,134.7,83.5,22.4,73.5,450.3,Chalky,Gujarat,Summer,Cereal,Maize,0.939,222.6,Canal,1.314,Medium,6.27,6.677
39.7,145.1,278.7,24.3,79.5,379.8,Clay,Bihar,Summer,Cash,Sugarcane,9.4,59.4,Tube well,5.516,Medium,517.902,55.096
184.6,141.1,275.4,38.5,22.8,632.6,Chalky,Rajasthan,Rabi,Cereal,Wheat,2.82,172.4,Canal,4.749,Medium,8.234,2.92
143.6,23.8,183.8,16.6,88.9,1013.6,Loam,Bihar,Summer,Fiber,Cotton,0.538,31.2,Drip,5.387,High,0.675,1.254
32.1,86.8,213.2,35.6,22.9,87.9,Sandy,Punjab,Summer,Cereal,Wheat,9.973,50.2,Canal,1.533,High,17.243,1.729
38.4,55.4,42.2,39.6,21.3,262.2,Clay,Punjab,Kharif,Cash,Sugarcane,0.676,27.4,Canal,1.944,Medium,17.84,26.391
69.2,6.5,192.8,19.7,78.7,359.8,Silt,Gujarat,Kharif,Vegetable,Onion,0.655,244.6,Drip,1.88,High,15.412,23.53
112.9,81.3,265.3,35.7,40.9,1198.7,Peaty,Karnataka,Rabi,Vegetable,Brinjal,8.04,256.5,Drip,4.901,High,95.684,11.901
207.6,117.6,121.8,30.0,54.1,379.1,Loam,Uttar Pradesh,Rabi,Cereal,Wheat,0.749,215.2,Canal,5.974,Low,3.159,4.217
32.5,135.4,128.3,36.2,40.2,1130.2,Sandy,Punjab,Summer,Cereal,Wheat,4.609,263.8,Rainfed,0.517,Medium,8.633,1.873
224.1,80.7,4.3,34.3,75.9,165.2,Clay,Bihar,Summer,Cash,Sugarcane,7.064,330.7,Canal,1.157,High,538.199,76.189
216.0,104.0,244.9,22.7,50.6,262.8,Silt,Haryana,Summer,Oilseed,Groundnut,3.356,89.2,Drip,4.452,Medium,8.377,2.496
75.3,23.9,181.0,33.8,63.1,230.4,Silt,Uttar Pradesh,Summer,Vegetable,Onion,6.668,291.2,Drip,1.588,High,158.552,23.778
237.7,23.6,245.4,29.8,75.2,256.5,Chalky,Odisha,Summer,Oilseed,Mustard,9.56,49.0,Canal,4.041,High,10.028,1.049
101.1,115.7,93.9,33.9,49.1,494.7,Peaty,Maharashtra,Kharif,Vegetable,Tomato,9.945,236.0,Rainfed,1.621,Medium,197.229,19.832
113.6,34.4,56.2,27.3,25.7,307.9,Silt,Odisha,Rabi,Pulse,Masoor,5.019,324.2,Tube well,2.975,High,5.014,0.999
114.1,91.3,236.8,29.7,86.0,748.8,Sandy,Maharashtra,Rabi,Cereal,Rice,7.617,394.1,Rainfed,2.59,Medium,32.753,4.3
105.6,106.9,138.3,8.6,52.0,329.9,Chalky,Karnataka,Rabi,Pulse,Masoor,6.582,220.4,Rainfed,2.949,Medium,3.765,0.572
28.9,83.9,131.7,17.7,59.4,745.0,Clay,Karnataka,Summer,Vegetable,Tomato,9.179,35.1,Rainfed,2.394,Low,96.214,10.482
84.8,149.3,281.2,30.8,93.0,96.5,Silt,Gujarat,Rabi,Oilseed,Mustard,9.319,173.6,Rainfed,1.813,High,9.636,1.034
155.6,101.1,198.4,28.5,41.1,173.7,Chalky,Uttar Pradesh,Kharif,Pulse,Moong,5.788,176.7,Rainfed,5.516,Low,3.021,0.522
162.1,122.7,165.3,30.4,30.5,626.2,Loam,Uttar Pradesh,Kharif,Pulse,Urad,3.068,201.5,Canal,0.524,Low,1.77,0.577
77.2,15.1,205.7,15.3,69.3,576.1,Clay,Bihar,Rabi,Cereal,Rice,1.276,255.4,Tube well,4.136,Medium,6.233,4.885
69.2,79.6,107.0,20.6,42.5,1159.7,Loam,Rajasthan,Rabi,Oilseed,Mustard,3.605,331.3,Rainfed,4.939,Low,3.281,0.91
75.6,139.0,142.1,28.2,84.0,1138.7,Peaty,Bihar,Kharif,Vegetable,Onion,6.982,371.3,Tube well,4.854,Low,156.99,22.485
113.3,105.8,61.7,30.7,85.5,367.0,Sandy,Rajasthan,Summer,Pulse,Masoor,4.02,337.9,Drip,5.74,High,3.727,0.927
128.9,65.0,230.6,26.0,27.4,997.2,Chalky,Karnataka,Rabi,Vegetable,Brinjal,0.254,269.4,Canal,0.533,Low,2.37,9.332
208.5,70.7,68.5,9.7,93.8,17.6,Silt,Rajasthan,Rabi,Pulse,Moong,5.987,33.3,Rainfed,4.788,High,2.173,0.363
155.0,56.6,182.9,11.3,77.1,987.7,Clay,Tamil Nadu,Kharif,Cash,Sugarcane,4.148,83.8,Rainfed,1.699,High,219.649,52.953
7.7,9.3,207.1,32.1,24.6,554.5,Peaty,Karnataka,Summer,Oilseed,Groundnut,2.566,364.7,Tube well,3.462,Medium,3.513,1.369
88.2,56.9,172.2,17.8,94.1,854.3,Clay,Odisha,Summer,Vegetable,Potato,3.464,253.6,Canal,5.956,High,105.943,30.584
160.5,123.5,104.4,10.2,23.5,614.9,Silt,Odisha,Summer,Pulse,Moong,6.951,339.3,Canal,0.993,Medium,4.796,0.69
223.2,58.1,272.6,27.3,30.8,1026.5,Silt,Bihar,Summer,Vegetable,Brinjal,0.409,240.5,Drip,5.484,Medium,6.319,15.45
75.3,125.7,285.9,29.6,39.1,620.7,Clay,Tamil Nadu,Kharif,Pulse,Urad,3.951,311.2,Canal,5.202,Low,2.13,0.539
245.5,29.4,247.6,34.8,67.4,344.7,Silt,Rajasthan,Kharif,Vegetable,Brinjal,0.813,308.1,Canal,4.629,Medium,12.204,15.011
5.6,6.7,236.3,22.3,87.9,1118.8,Sandy,Tamil Nadu,Rabi,Oilseed,Soybean,7.156,344.8,Rainfed,5.629,Low,7.786,1.088
20.2,64.0,145.3,35.7,37.9,183.7,Chalky,Maharashtra,Rabi,Oilseed,Sesame,9.938,34.6,Tube well,3.441,High,3.647,0.367
116.1,62.3,68.3,21.8,47.9,578.2,Chalky,Punjab,Kharif,Oilseed,Mustard,3.785,363.1,Tube well,2.622,Medium,5.049,1.334
115.1,118.1,6.5,23.8,29.6,149.6,Loam,Odisha,Summer,Cereal,Wheat,8.588,398.8,Tube well,4.671,High,36.19,4.214
45.7,129.7,250.8,35.6,62.6,120.4,Clay,Maharashtra,Summer,Cereal,Wheat,8.71,91.6,Canal,4.797,High,26.191,3.007
160.5,7.0,224.1,26.0,76.5,71.2,Clay,Uttar Pradesh,Rabi,Fiber,Cotton,7.138,257.0,Canal,0.203,High,13.926,1.951
213.8,100.1,96.3,17.6,55.5,338.1,Peaty,Uttar Pradesh,Rabi,Vegetable,Brinjal,1.235,20.5,Drip,5.665,Low,10.863,8.796
221.4,1.0,113.9,15.6,41.7,916.5,Loam,Rajasthan,Rabi,Cereal,Barley,7.545,342.2,Tube well,1.151,High,24.318,3.223
229.2,100.7,62.7,34.6,43.1,843.0,Chalky,Uttar Pradesh,Summer,Vegetable,Tomato,4.269,47.1,Rainfed,4.22,Medium,55.557,13.014
176.0,107.0,184.5,31.8,82.9,986.2,Loam,Uttar Pradesh,Rabi,Pulse,Chana,7.492,93.8,Rainfed,1.998,High,7.687,1.026
152.9,70.6,112.9,34.7,81.1,357.5,Peaty,Karnataka,Rabi,Pulse,Chana,3.088,236.7,Drip,5.062,Low,3.202,1.037
3.0,14.9,116.0,38.6,70.6,578.8,Loam,Rajasthan,Rabi,Oilseed,Mustard,9.369,399.5,Rainfed,1.991,High,7.149,0.763
32.5,70.3,129.1,23.9,64.0,756.2,Loam,Odisha,Kharif,Pulse,Urad,0.627,346.0,Drip,3.697,High,0.554,0.884
142.3,95.2,202.4,37.4,36.7,407.6,Sandy,Uttar Pradesh,Kharif,Cereal,Wheat,9.658,345.9,Tube well,4.149,Medium,30.79,3.188
27.9,118.9,239.8,14.0,83.9,403.9,Chalky,Gujarat,Kharif,Vegetable,Tomato,3.422,297.0,Tube well,5.781,High,74.36,21.73
117.1,115.0,74.4,17.2,64.1,259.1,Sandy,Rajasthan,Summer,Vegetable,Potato,2.011,279.5,Rainfed,5.349,Low,40.679,20.228
18.3,126.1,63.6,15.9,84.7,625.8,Chalky,Haryana,Summer,Cash,Sugarcane,5.989,82.2,Drip,0.283,Medium,244.231,40.78
66.1,38.9,123.5,16.4,35.1,1106.0,Loam,Punjab,Summer,Cereal,Wheat,5.274,261.8,Drip,2.667,Low,13.702,2.598
195.6,95.1,161.7,23.4,67.1,99.0,Chalky,Bihar,Kharif,Vegetable,Brinjal,8.626,41.1,Canal,3.75,Low,74.848,8.677
53.2,43.2,179.6,11.1,71.2,1164.9,Clay,Tamil Nadu,Summer,Cereal,Wheat,8.031,172.3,Tube well,4.318,Low,17.098,2.129
132.9,47.7,60.4,32.6,58.4,1075.5,Sandy,Bihar,Kharif,Cereal,Maize,5.825,301.6,Canal,4.099,Medium,34.082,5.851
186.6,76.7,226.8,14.6,22.0,469.8,Peaty,Punjab,Summer,Pulse,Urad,4.67,259.0,Canal,2.72,Low,2.456,0.526
68.7,33.4,46.2,37.8,53.9,39.9,Clay,Haryana,Kharif,Pulse,Chana,9.983,273.2,Canal,2.514,Medium,8.126,0.814
63.3,65.8,202.0,8.2,60.3,30.8,Clay,Karnataka,Summer,Cereal,Maize,2.239,43.0,Rainfed,1.53,Low,4.709,2.103
